name;year;Effectiveness;Load;Quality;NSabonents
I. Колпашевская РБ;;;;;
;20.11;100;239;0;0
;21.11;100;24;0;0
;23.11;0;639;0;0
;24.11;100;366;0;0
;25.11;100;265;0;0
;26.11;100;246;0;0
1. Эффективность;;;;;
;00:00;100;0;0;0
SLA;;;;;
;00:00;96.85;0;0;0
ASC;;;;;
;00:00;13;0;0;0
LC;;;;;
;00:00;7.11;0;0;0
2. Нагрузка;;;;;
;00:00;92.89;0;0;0
Трафик;;;;;
;00:00;18164;0;0;0
Обработанный трафик;;;;;
;00:00;16872;0;0;0
II. Поликлиника №1;;;;;
;20.11;0;0;0;0
;21.11;0;0;0;0
;23.11;0;3510;0;0
;24.11;100;8289;0;0
;25.11;0;5999;0;0
;26.11;0;1748;0;0
1. Эффективность;;;;;
;00:00;0;0;0;0
SLA;;;;;
;00:00;100;0;0;0
ASC;;;;;
;00:00;0;0;0;0
LC;;;;;
;00:00;0;0;0;0
2. Нагрузка;;;;;
;00:00;100;0;0;0
Трафик;;;;;
;00:00;0;0;0;0
Обработанный трафик;;;;;
;00:00;0;0;0;0
III. Поликлиника №4;;;;;
;20.11;0;582;0;0
;21.11;0;0;0;0
;23.11;0;1164;0;0
;24.11;0;586;0;0
;25.11;0;0;0;0
;26.11;0;0;0;0
1. Эффективность;;;;;
;00:00;0;0;0;0
SLA;;;;;
;00:00;42.7;0;0;0
ASC;;;;;
;00:00;554;0;0;0
LC;;;;;
;00:00;19.07;0;0;0
2. Нагрузка;;;;;
;00:00;78.87;0;0;0
Трафик;;;;;
;00:00;58200;0;0;0
Обработанный трафик;;;;;
;00:00;45900;0;0;0
IV. Детская больница №1;;;;;
;20.11;0;485;0;0
;21.11;0;0;0;0
;23.11;0;750;0;0
;24.11;0;440;0;0
;25.11;0;473;0;0
;26.11;0;480;0;0
1. Эффективность;;;;;
;00:00;0;0;0;0
SLA;;;;;
;00:00;39.43;0;0;0
ASC;;;;;
;00:00;385;0;0;0
LC;;;;;
;00:00;19.59;0;0;0
2. Нагрузка;;;;;
;00:00;78.97;0;0;0
Трафик;;;;;
;00:00;48500;0;0;0
Обработанный трафик;;;;;
;00:00;38300;0;0;0
V. Детская больница №2;;;;;
;20.11;0;0;0;0
;21.11;0;0;0;0
;23.11;0;0;0;0
;24.11;0;0;0;0
;25.11;0;0;0;0
;26.11;0;0;0;0
1. Эффективность;;;;;
;00:00;0;0;0;0
SLA;;;;;
;00:00;100;0;0;0
ASC;;;;;
;00:00;0;0;0;0
LC;;;;;
;00:00;0;0;0;0
2. Нагрузка;;;;;
;00:00;100;0;0;0
Трафик;;;;;
;00:00;0;0;0;0
Обработанный трафик;;;;;
;00:00;0;0;0;0